,Open,High,Low,Close,Adj Close,Volume
2024-08-21 10:36:00-04:00,560.2000122070312,561.4000244140625,560.1799926757812,561.2899780273438,561.2899780273438,260313
2024-08-21 10:37:00-04:00,561.2899780273438,561.4500122070312,561.1400146484375,561.3499755859375,561.3499755859375,129592
2024-08-21 10:38:00-04:00,561.3400268554688,561.3499755859375,561.2000122070312,561.2310791015625,561.2310791015625,83562
2024-08-21 10:39:00-04:00,561.22998046875,561.27001953125,561.02001953125,561.27001953125,561.27001953125,117058
2024-08-21 10:40:00-04:00,561.2794799804688,561.5999755859375,561.260009765625,561.469970703125,561.469970703125,144396
2024-08-21 10:41:00-04:00,561.4600219726562,561.8499755859375,561.4600219726562,561.8200073242188,561.8200073242188,132082
2024-08-21 10:42:00-04:00,561.8300170898438,562.0499877929688,561.8250122070312,561.9600219726562,561.9600219726562,169150
2024-08-21 10:43:00-04:00,562.0,562.0700073242188,561.9349975585938,562.0,562.0,111529
2024-08-21 10:44:00-04:00,562.0,562.1099853515625,561.7899780273438,561.8099975585938,561.8099975585938,125059
2024-08-21 10:45:00-04:00,561.8300170898438,561.9500122070312,561.780029296875,561.8800048828125,561.8800048828125,100036
2024-08-21 10:46:00-04:00,561.8400268554688,562.0001220703125,561.8300170898438,561.9299926757812,561.9299926757812,72717
2024-08-21 10:47:00-04:00,561.9273071289062,561.9500122070312,561.3099975585938,561.4099731445312,561.4099731445312,239358
2024-08-21 10:52:00-04:00,559.5399780273438,559.5399780273438,558.5800170898438,558.9799194335938,558.9799194335938,243349
2024-08-21 10:54:00-04:00,559.0999755859375,559.1799926757812,558.6199951171875,558.7000122070312,558.7000122070312,178633
2024-08-21 10:55:00-04:00,558.6799926757812,558.9400024414062,558.5980224609375,558.719970703125,558.719970703125,102254
2024-08-21 10:56:00-04:00,558.6799926757812,559.030029296875,558.6500244140625,558.9874877929688,558.9874877929688,90239
2024-08-21 11:01:00-04:00,559.0999755859375,559.1099853515625,558.5499877929688,558.989990234375,558.989990234375,375297
2024-08-21 11:02:00-04:00,558.9949951171875,559.1199951171875,558.72998046875,558.89501953125,558.89501953125,87823
2024-08-21 11:52:00-04:00,558.989501953125,559.0499877929688,558.8099975585938,558.989501953125,558.989501953125,42631
2024-08-21 11:55:00-04:00,558.989990234375,559.0999755859375,558.9600219726562,558.989990234375,558.989990234375,35086
2024-08-21 11:56:00-04:00,558.99951171875,559.010009765625,558.77001953125,558.8699951171875,558.8699951171875,51501
2024-08-21 11:57:00-04:00,558.9099731445312,558.9299926757812,558.6400146484375,558.739990234375,558.739990234375,41143
2024-08-21 11:58:00-04:00,558.77001953125,558.8300170898438,558.6300048828125,558.7100219726562,558.7100219726562,246336
2024-08-21 11:59:00-04:00,558.6950073242188,558.9400024414062,558.6900024414062,558.8900146484375,558.8900146484375,44755
2024-08-21 12:00:00-04:00,558.8900146484375,558.8930053710938,558.6400146484375,558.6799926757812,558.6799926757812,61216
2024-08-21 12:01:00-04:00,558.6851196289062,558.7150268554688,558.5,558.6199951171875,558.6199951171875,72617
2024-08-21 12:02:00-04:00,558.6199951171875,558.6300048828125,558.02001953125,558.0399780273438,558.0399780273438,164447
2024-08-21 12:03:00-04:00,558.0399780273438,558.3699951171875,557.989990234375,558.2194213867188,558.2194213867188,114063
2024-08-21 12:04:00-04:00,558.2000122070312,558.260009765625,558.0900268554688,558.2100219726562,558.2100219726562,62092
2024-08-21 12:05:00-04:00,558.219970703125,558.4600219726562,558.2000122070312,558.3400268554688,558.3400268554688,85144
2024-08-21 12:06:00-04:00,558.3400268554688,558.6099853515625,558.3400268554688,558.5800170898438,558.5800170898438,87352
2024-08-21 12:07:00-04:00,558.5999755859375,558.6099853515625,558.3900146484375,558.4650268554688,558.4650268554688,51142
2024-08-21 12:08:00-04:00,558.489990234375,558.72998046875,558.489990234375,558.6500244140625,558.6500244140625,55637
2024-08-21 12:09:00-04:00,558.6513061523438,558.688720703125,558.530029296875,558.5700073242188,558.5700073242188,155130
2024-08-21 12:10:00-04:00,558.5900268554688,558.8699951171875,558.530029296875,558.8300170898438,558.8300170898438,40550
2024-08-21 12:11:00-04:00,558.8200073242188,558.9210815429688,558.7899780273438,558.880126953125,558.880126953125,47824
2024-08-21 12:12:00-04:00,558.8800048828125,558.9600219726562,558.6900024414062,558.8049926757812,558.8049926757812,34803
2024-08-21 12:13:00-04:00,558.780029296875,558.8099975585938,558.6900024414062,558.7949829101562,558.7949829101562,32794
2024-08-21 12:14:00-04:00,558.8099975585938,558.8400268554688,558.739990234375,558.8300170898438,558.8300170898438,17155
2024-08-21 12:15:00-04:00,558.7999877929688,558.844970703125,558.6699829101562,558.6699829101562,558.6699829101562,54904
2024-08-21 12:16:00-04:00,558.6699829101562,558.9000244140625,558.6699829101562,558.8499755859375,558.8499755859375,43479
2024-08-21 12:17:00-04:00,558.8300170898438,558.8300170898438,558.6900024414062,558.760009765625,558.760009765625,26170
2024-08-21 12:18:00-04:00,558.760009765625,558.9000244140625,558.7100219726562,558.8800048828125,558.8800048828125,26975
2024-08-21 14:00:00-04:00,560.4299926757812,561.1799926757812,560.4000244140625,561.1799926757812,561.1799926757812,232125
2024-08-21 14:28:00-04:00,561.010009765625,561.1799926757812,560.969970703125,561.1400146484375,561.1400146484375,75920
2024-08-21 14:29:00-04:00,561.1400146484375,561.27001953125,561.030029296875,561.2526245117188,561.2526245117188,36103
2024-08-21 14:30:00-04:00,561.25,561.5900268554688,561.25,561.5800170898438,561.5800170898438,133770
2024-08-21 14:31:00-04:00,561.5659790039062,561.5659790039062,561.4199829101562,561.52001953125,561.52001953125,88359
2024-08-21 14:32:00-04:00,561.5399780273438,561.7000122070312,561.5399780273438,561.6799926757812,561.6799926757812,67961
2024-08-21 14:33:00-04:00,561.6699829101562,561.7100219726562,561.5599975585938,561.5599975585938,561.5599975585938,98976
2024-08-21 14:34:00-04:00,561.5650024414062,561.5700073242188,561.469970703125,561.4998779296875,561.4998779296875,57947
2024-08-21 14:36:00-04:00,561.0700073242188,561.0700073242188,560.7764892578125,561.0700073242188,561.0700073242188,217735
2024-08-21 14:37:00-04:00,561.0900268554688,561.1400146484375,561.0399780273438,561.0712890625,561.0712890625,61816
